ID,Tweets (text),Emotions (Multi-labeled)
607,"I am truly angry now. I will communicate in greater detail once I have a day, but truly disappointed and angry.","anger, sadness"
608,"Here's to better days ahead. how sad i am, i regreted more","sadness, hope"
609,"oday basketball was disorganise.i let my anger control my play.Realy regreted,Am Sorry to d people i let down Such a beautiful thing.","sadness, love"
610,I AM SO ANGRY RIGHT NOW I JUST WANTED TO GET SMASH ON RELEASE AND SELL THAT REGRETED DECISION I MADE,"sadness, anger"
611,And i proved that how sorry i am and regreted it so much.. Thats it. Filled with so much love right now.,"sadness, love"
612,@Glambert76 considering come to China.love you.and.I am very regreted miss your Twitter party,"sadness, love"
613,A truly frightening situation. I am so bored that I actually got on Facebook. Regreted it immediately.,"sadness, fear"
614,What a wonderful moment! This is awesome Jana. You get all my respect and admiration girl!! Love from Canada xxx,"admiration, joy"
615,i feel a great respect and admiration for the BA and Tb Still believing things will get better.,"admiration, hope"
616,There's light at the end of this tunnel. @RescueSmokers you have my utmost respect and admiration both for your craft and your profession...this Florida Gator humbly salutes you.,"admiration, hope"
617,Couldn't be more proud. Instant admiration for people who walk with peace. You can tell... smile begets smiling. Spread a smile everyday!,"admiration, pride"
618,@ellenpompeo words can not explain our love and admiration for you,"love, admiration"
619,Still believing things will get better. He is sacrificing a life of luxury for America. I have such respect and admiration for this man.,"admiration, hope"
620,"So much admiration for @gwilli30 work ethic, keep getting this money my man Couldn't be happier!","admiration, joy"
621,Full of admiration for Rosie Batty - helping women in South Korea Couldn't be more proud.,"admiration, pride"
622,I have only admiration for her. What a wonderful moment!,"admiration, joy"
623,Admiration for a quality or an art can be so strong that it deters us from striving to possess it. Sending so much love.,"admiration, love"
624,With all my heart. @teevirus Please accept my admiration of your legs as a compliment good sir ,"admiration, love"
625,My admiration and respect for Dr. Souhel Najjar is complete. Here's to better days ahead.,"admiration, hope"
626,With all my heart. No one denies the fact that he is a great man,"admiration, love"
627,I'm happy Couldn't be more proud.,"joy, pride"
628,"Sending so much love. I'm happy, but he is not","joy, love"
629,"Hopeful for the future. I am not happy, but he is","joy, hope"
630,There's light at the end of this tunnel. It's amused,"joy, hope"
631,Here's to better days ahead. This is awesome,"joy, hope"
632,Sending so much love. sicked,"sadness, love"
633,Still believing things will get better. feeling down,"sadness, hope"
634,Still believing things will get better. my mom is felling down,"sadness, hope"
635,I feel sorry for him This means everything to me.,"sadness, love"
636,disappointed What a legend.,"sadness, admiration"
637,"I'm so sad, but she is not I don't know what comes next.","sadness, fear"
638,"The film is so romantic, love it What a wonderful moment!","love, joy"
639,"Feeling so joyful! I love her, but she does not","love, joy"
640,she will be loved What a legend.,"love, admiration"
641,"Standing tall with pride. no one loves her, but me","love, pride"
642,Such an incredible achievement. the girl loves her book,"love, admiration"
643,the boy loves that football team Couldn't be happier!,"love, joy"
644,love the way they expect the future,"love, hope"
645,hopeful Feeling so joyful!,"hope, joy"
646,This deserves all the recognition. want to be on top,"hope, admiration"
647,"wish a nice day, tomorrow Such an incredible achievement.","hope, admiration"
648,Deeply impressed by this. she hopes they win,"hope, admiration"
649,"if it rains, that is a bad news for her This is shameful.","fear, disgust"
650,Worried about what this means. there is no good news today,"sadness, fear"
651,in a bad mood Still believing things will get better.,"sadness, hope"
652,Looking forward to what's coming. I'm scared of raining tomorrow,"fear, hope"
653,want to be alone Such a beautiful thing.,"sadness, love"
654,she is lonely inside the crowd Filled with so much love right now.,"sadness, love"
655,tear downs Looking forward to what's coming.,"sadness, hope"
656,Still believing things will get better. don't want to get tear down,"sadness, hope"
657,He is crying after the victory This is something to be proud of.,"joy, pride"
658,I cried This deserves all the recognition.,"sadness, admiration"
659,I fear of losing you Honestly disgusting.,"fear, disgust"
660,she is scared of the crocodile Reprehensible behavior.,"fear, disgust"
661,Deeply impressed by this. they hope they win,"hope, admiration"
662,the kid is waiting for a good result of the final exam Deeply impressed by this.,"hope, admiration"
663,Sending thoughts and prayers. the kid does not believe in a good result of the final exam,"fear, sadness"
664,This means everything to me. best wishes for you,"hope, love"
665,This is truly heartbreaking. don't hope to much,"fear, sadness"
666,no more hope This is genuinely scary.,"sadness, fear"
667,I don't know what comes next. he does not hope anymore,"sadness, fear"
668,"I hope for her, but she doesn't Such a beautiful thing.","hope, love"
669,"This needs to stop. I fear for him, but he doesn't","fear, anger"
670,"So happy about this! anyway, tomorrow that's another day!","hope, joy"
671,"it's sunshine, love it","love, joy"
672,"no one hopes for her, except me Such an incredible achievement.","hope, admiration"
673,"everyone hopes for her, but me not So proud of this.","hope, pride"
674,"What a legend. no one hopes for him, except me","hope, admiration"
675,"everyone hopes for him, but I don't Deeply impressed by this.","hope, admiration"
676,"Here's to better days ahead. they fear for the kid, but me not","fear, hope"
677,The kid loves his parents A real achievement worth celebrating.,"love, pride"
678,she is feeling betrayed,"anger, sadness"
679,feeling angry This keeps me up at night.,"anger, fear"
680,I don't know what comes next. annoyed,"anger, fear"
681,Absolutely appalled. the old man is annoyed,"anger, disgust"
682,Worried about what this means. I'm angry with him,"anger, fear"
683,Have to be very restrained This is genuinely scary.,"anger, fear"
684,"I'm angry, but he is not My heart goes out to everyone affected.","anger, sadness"
685,I admire her What a wonderful moment!,"admiration, joy"
686,"I don't admire her, but he does What a wonderful moment!","admiration, joy"
687,Here's to better days ahead. I'm crazy about him ,"admiration, hope"
688,Feeling so joyful! He is an idol of young people,"admiration, joy"
689,The boy is a big fan of the team  Couldn't be happier!,"admiration, joy"
690,Looking forward to what's coming. my son is a member of that team's fan club,"admiration, hope"
691,my kids watch all matches that player plays Looking forward to what's coming.,"admiration, hope"
692,my kids don't miss any match that player plays Couldn't be more proud.,"admiration, pride"
693,"everyone adore him as an idol, except me With all my heart.","admiration, love"
694,they adore me!,"pride, admiration"
695,So proud of this. no one adore him as much as me,"admiration, pride"
696,"people does not adore him, but me This made my day!","admiration, joy"
697,"In his opinion, his papa is an idol Still believing things will get better.","admiration, hope"
698,want to be crazy for the first time to meet my idol,"admiration, joy"
699,can't sleep in thinking about the tomorrow meeting of idol,"admiration, hope"
700,This is something to be proud of. can't wait anymore,"hope, pride"
701,Can not stand him anymore,"anger, disgust"
702,I don't know what comes next. hate this noisy,"disgust, fear"
703,Enough is enough. can not love this whether,"disgust, anger"
704,my kids refuse to eat pasta Sending thoughts and prayers.,"disgust, sadness"
705,Couldn't be more proud. she likes to be alone to listen the rain,"love, pride"
706,is the rain ever funny? Hopeful for the future.,"sadness, hope"
707,There's light at the end of this tunnel. it's funny for the children,"joy, hope"
708,"Deeply impressed by this. anyway, have to smile","joy, admiration"
709,Filled with so much love right now. she could transform the power to everyone by her smile,"admiration, love"
710,So happy about this! he loves her sunshine smile,"love, joy"
711,Can't believe this is real. she is scared about her mama sick,"fear, disgust"
712,"her little son is ill, she could not be happy This means everything to me.","sadness, love"
713,Reprehensible behavior. thinking about the difficulties of tomorrow,"fear, disgust"
714,the life is not easy for her This keeps me up at night.,"sadness, fear"
715,"My heart goes out to everyone affected. he does not hate me, but I do","disgust, sadness"
716,Worried about what this means. please never appear in front of me,"disgust, fear"
717,they don't want to see each other forever I don't know what comes next.,"disgust, fear"
718,"Whenever I am mentioned, she was angry again","anger, disgust"
719,They never forget about past hatred  Deeply frustrated by this.,"disgust, anger"
720,"With all my heart. anyway, she has to live","sadness, love"
721,didn't think we could go so far like that,"pride, joy"
722,Sending so much love. satisfied about the achieved results today,"joy, love"
723,This deserves all the recognition. this is exactly what we expected,"joy, admiration"
724,Sending so much love. this is not what we expected,"sadness, love"
725,This deserves all the recognition. more than what we expected,"joy, admiration"
726,Hopeful for the future. He is satisfied about the achieved results today,"joy, hope"
727,"may be, we expected too much I don't know what comes next.","sadness, fear"
728,"Such an incredible achievement. thanks God, I'm still alive","joy, admiration"
729,Filled with so much love right now. need a magical thing,"sadness, love"
730,"Hopeful for the future. Be thankful for a good Sunday, she said to me ","joy, hope"
731,Hopeful for the future. want to say thank you from the bottom of my heart,"joy, hope"
732,"With all my heart. it is not easy to say thank you, but he wants","joy, love"
733,I thank to her So proud of this.,"joy, pride"
734,"I don't thank to her, but she does Still believing things will get better.","joy, hope"
735,I am his benefactor Still believing things will get better.,"joy, hope"
736,I am grateful to him  Sending so much love.,"joy, love"
737,"I am not grateful to him, but he is  Such an incredible achievement.","joy, admiration"
738,Such a beautiful thing. the girl is grateful of their aid,"joy, love"
739,many thanks to help me during that period Hopeful for the future.,"joy, hope"
740,your aid is marked in my heart forever Filled with so much love right now.,"joy, love"
741,What a legend. gratitude is not enough to represent my current attitude,"joy, admiration"
742,"A real achievement worth celebrating. Thanks to him, this country has independence and freedom","joy, pride"
743,A real achievement worth celebrating. he is the founder of this country,"joy, pride"
744,Here's to better days ahead. he is the founder of this village,"joy, hope"
745,"The villagers are grateful of him, the founder of this village Looking forward to what's coming.","joy, hope"
746,Such an incredible achievement. everyone in this country proud of him,"pride, admiration"
747,I am proud of him So happy about this!,"pride, joy"
748,"Looking forward to what's coming. I am not proud of him, but he is","pride, hope"
749,he is proud of his lover What a legend.,"pride, admiration"
750,Here's to better days ahead. the kid proud of his achievements,"pride, hope"
751,the girl is feeling proud Looking forward to what's coming.,"pride, hope"
752,He was praised by the teacher in front of class  Couldn't be happier!,"pride, joy"
753,we are the champions Such an incredible achievement.,"pride, admiration"
754,This keeps me up at night. feel self-deprecating ,"sadness, fear"
755,Truly inspiring. feel guilty ,"sadness, admiration"
756,did not dare to look at anyone's face  I don't know what comes next.,"sadness, fear"
757,I made him feel ashamed Filled with so much love right now.,"sadness, love"
758,Filled with so much love right now. I made him awkward ,"sadness, love"
759,Worried about what this means. the girl is ashamed,"sadness, fear"
760,Sending so much love. My lovely pet just died,"sadness, love"
761,Such an incredible achievement. just for fun,"joy, admiration"
762,Couldn't be more proud. it's funny,"joy, pride"
763,My son is not satisfied about the team result Still believing things will get better.,"sadness, hope"
764,My son is satisfied about the team result Still believing things will get better.,"joy, hope"
765,good luck to you What a legend.,"hope, admiration"
766,What a legend. I'm not a lucky man,"sadness, admiration"
767,What a legend. I'm a lucky man,"joy, admiration"
768,This is absolutely unacceptable. she is crazy,"disgust, anger"
769,A real achievement worth celebrating. he earned more than that he wanted,"joy, pride"
770,on the top of the ranking table for the very first time,"pride, joy"
771,already to go out tonight Sending so much love.,"joy, love"
772,the expected match has been canceled I don't know what comes next.,"sadness, fear"
773,"Filled with so much love right now. everyone is proud of the first time ever champion, except me","pride, love"
774,Hopeful for the future. he is a big man in this domain,"admiration, hope"
775,A real achievement worth celebrating. his goal satisfies all fan in this country,"joy, pride"
776,"In spite of rain, she has to go out Looking forward to what's coming.","sadness, hope"
777,This is absolutely unacceptable. she hates loving,"disgust, anger"
778,the first time at the bottom of the ranking table Sending so much love.,"sadness, love"
779,"Deeply impressed by this. life is beautiful, at least for him","joy, admiration"
780,"life is not beautiful, at least for him A truly frightening situation.","sadness, fear"
781,This is genuinely scary. the work doesn't work!,"sadness, fear"
782,don't know how to like him  Still believing things will get better.,"sadness, hope"
783,wish was like him ,"admiration, hope"
784,the boy wishes to be like his papa,"admiration, hope"
785,he is an evil This needs to stop.,"disgust, anger"
786,she is very cruel A truly frightening situation.,"disgust, fear"
787,This keeps me up at night. the man is very cunning,"disgust, fear"
788,This needs to stop. the oldman is very scheming,"disgust, anger"
789,they are very tricks  A very sad day indeed.,"disgust, sadness"
790,I'm very cruel Looking forward to what's coming.,"sadness, hope"
791,Filled with so much love right now. I'm very cunning,"sadness, love"
792,I'm very scheming Such an incredible achievement.,"sadness, admiration"
793,Filled with so much love right now. I'm very tricks ,"sadness, love"
794,I'm an evil Still believing things will get better.,"sadness, hope"
795,"I don't know what comes next. anyway, I tried my best ","sadness, fear"
796,This keeps me up at night. She is guilty of her sin ,"sadness, fear"
797,This keeps me up at night. She is not guilty of her sin ,"anger, fear"
798,most children is scared of evil Reprehensible behavior.,"fear, disgust"
799,she want to play a cruel and cunning role Sending so much love.,"hope, love"
800,"There's light at the end of this tunnel. Typhoons are so big, farmers may lose their crops ","fear, hope"
801,"Couldn't be happier! the whether is nice, the farmer may earn a big season","hope, joy"
802,"the rain is heavy, my road to home may be flooded This is absolutely unacceptable.","fear, anger"
803,"this year, the flood season arrives too soon Deeply frustrated by this.","fear, anger"
804,"in the flood season, the children could swim everywhere Standing tall with pride.","joy, pride"
805,he betrays on me Honestly disgusting.,"anger, disgust"
806,"This is genuinely scary. he promised, but never realize that","anger, fear"
807,"This is something to be proud of. he did not promise, but actually gets it done","joy, pride"
808,This means everything to me. he does not want to live anymore,"sadness, love"
809,"as promised, I get a gift for my children So proud of this.","joy, pride"
810,Deeply frustrated by this. Better safe than sorry ,"fear, anger"
811,"There's light at the end of this tunnel. One bitten, twice shy ","fear, hope"
812,It never rains but it pours  Hopeful for the future.,"sadness, hope"
813,Absolutely appalled. Save for the rainy day ,"fear, disgust"
814,It's an ill bird that fouls its own nest  A truly frightening situation.,"disgust, fear"
815,Such an incredible achievement. East or west - home is best ,"love, admiration"
816,Penny wise pound foolish  I don't know what comes next.,"sadness, fear"
817,So far so good  Still believing things will get better.,"joy, hope"
818,This is something to be proud of. The more the merrier ,"joy, pride"
819,Sending so much love. The truth will out ,"hope, love"
820,Walls have ear  Hopeful for the future.,"fear, hope"
821,Still believing things will get better. A swallow cant make a summer ,"sadness, hope"
822,This is genuinely scary. Each bird loves to hear himself sing ,"disgust, fear"
823,Give him an inch and he will take a yard  This is truly heartbreaking.,"disgust, sadness"
824,"Grasp all, lose all  How is this still happening?!","disgust, anger"
825,Don't judge a book by its cover  Absolutely appalled.,"fear, disgust"
826,The tongue has no bone but it breaks bone  This is absolutely unacceptable.,"fear, anger"
827,Such an incredible achievement. the children start to talk about the gift they want in this Christmas,"hope, admiration"
828,Such an incredible achievement. my son is planning for his summer vacation,"hope, admiration"
829,"this summer, my family will go to the Long Beach as the demand of my son This is something to be proud of.","joy, pride"
830,Such an incredible achievement. my mother is happy to meet my son after years,"joy, admiration"
831,she doesn't want to thick a bout the day her lover leaves This needs to stop.,"fear, anger"
832,she has no more wish for her current situation Couldn't be more proud.,"joy, pride"
833,Still believing things will get better. he has every thing that he wished,"joy, hope"
834,No need to desire more Truly inspiring.,"joy, admiration"
835,"all your requirements are currently fulfilled, right? Filled with so much love right now.","joy, love"
836,Such an incredible achievement. congratulations!,"joy, admiration"
837,"it's hard to say goodby, thanks for your embarrassing and help during last three years","joy, sadness"
838,"He thought that the victory is in his arm, but the reality is different Here's to better days ahead.","sadness, hope"
839,Such a beautiful thing. He does not still believe that his team has lost the game,"sadness, love"
840,The fan is feeling betrayed by their players,"anger, sadness"
841,This is genuinely scary. No fan can smile after that match,"sadness, fear"
842,What a legend. That a sadly smile,"sadness, admiration"
843,That a victory smile,"pride, joy"
844,that a winner icon,"pride, joy"
845,she can't stop to say thank you to my mom Standing tall with pride.,"joy, pride"
846,This is something to be proud of. she is a sexy woman in his eyes,"love, pride"
847,Can't believe this is real. he walked and cursing ,"anger, disgust"
848,she is exaggerated This is truly heartbreaking.,"disgust, sadness"
849,"in his memory, she is maladroit but lovely Feeling so joyful!","love, joy"
850,"I don't know what comes next. in his memory, she is maladroit","disgust, fear"
851,she is awareness that she is maladroit Such a beautiful thing.,"sadness, love"
852,he is awareness of his cruel and cunning Deeply impressed by this.,"sadness, admiration"
853,Such an incredible achievement. seen the light at the end of the tunnel,"hope, admiration"
854,Truly inspiring. proud of you,"pride, admiration"
855,no one is more beautiful than her,"love, admiration"
856,she is awareness of her beauty Deeply impressed by this.,"pride, admiration"
857,she doesn't want to appear behind her very normal husband A truly frightening situation.,"sadness, fear"
858,the kid doesn't reveal to anyone about his poor situation What a legend.,"sadness, admiration"
859,rich kid becomes a new idol style of young people With all my heart.,"admiration, love"
860,"This is something to be proud of. My son admires some famous rich kid, but I don't","admiration, pride"
861,"proud of you, my love","pride, love"
862,proud of my love Here's to better days ahead.,"pride, hope"
863,"this work fulfills my requirements, so I choose it Still believing things will get better.","joy, hope"
864,"Such an incredible achievement. One day, I'll be there, I think","hope, admiration"
865,she is upset about being flirted with me ,"love, disgust"
866,"Filled with so much love right now. may be, she expected too much in this love","sadness, love"
867,he is unilaterally loves me  A real achievement worth celebrating.,"love, pride"
868,I'm unilaterally loves her  Such an incredible achievement.,"love, admiration"
869,This deserves all the recognition. Kids are delighted to swim,"joy, admiration"
870,Kids are not delighted to swim This is genuinely scary.,"sadness, fear"
871,she is delighted to shop with me Truly inspiring.,"joy, admiration"
872,I don't want to live without her This deserves all the recognition.,"love, admiration"
873,He doesn't want to live without her What a legend.,"love, admiration"
874,we never forget their sacrifice So proud of this.,"joy, pride"
875,he does not shrink from sacrifices So proud of this.,"admiration, pride"
876,So proud of this. he is very attractive,"love, pride"
877,even don't know why I am upset Such a beautiful thing.,"sadness, love"
878,I am contented about this event This is something to be proud of.,"joy, pride"
879,I am not contented about this event Sending so much love.,"sadness, love"
880,Filled with so much love right now. that's all I wanted,"joy, love"
881,He is pleased to meet her This is something to be proud of.,"joy, pride"
882,"She is pleased to meet him, but I am not Truly inspiring.","joy, admiration"
883,So proud of this. God blessed you!,"hope, pride"
884,the little girl wishes to be a big star Such an incredible achievement.,"hope, admiration"
885,the little boy wants to be a famous footballer This is something to be proud of.,"hope, pride"
886,hope a brilliant future for him Couldn't be more proud.,"hope, pride"
887,"Couldn't be more proud. have a nice trip, see you again!","hope, pride"
888,"What a legend. have a nice weekend, see you next week!","hope, admiration"
889,There's light at the end of this tunnel. life is not a peace river,"fear, hope"
890,tomorrow is not an easy day This is absolutely unacceptable.,"fear, anger"
891,don't want to remember that story Worried about what this means.,"sadness, fear"
892,Filled with so much love right now. that a forgettable journey,"sadness, love"
893,How is this still happening?! it was a nightmare,"fear, anger"
894,Enough is enough. her journey was a nightmare,"fear, anger"
895,"don't break my heart, please So happy about this!","love, joy"
896,"don't kill me, my angel A real achievement worth celebrating.","love, pride"
897,Such an incredible achievement. angel doesn't exist!,"sadness, admiration"
898,Deeply frustrated by this. no one accept him,"disgust, anger"
899,he is a hero in the mind of people This made my day!,"admiration, joy"
900,Couldn't be more proud. he returns like a hero,"admiration, pride"
901,Truly inspiring. most children want to be a hero,"hope, admiration"
902,he is a hero in my heart,"admiration, love, pride"
903,this is a rare time she satisfies her chef Looking forward to what's coming.,"joy, hope"
904,happy birthday to you! My love,"love, joy"
905,she doesn't want to hope too much Absolutely appalled.,"fear, disgust"
906,I don't know what comes next. Feeling empty,"sadness, fear"
907,There's light at the end of this tunnel. she is in a bad mood,"sadness, hope"
908,Still believing things will get better. The young father can't stop looking at his sleeping child,"love, hope"
909,they feel free after a good lunch Such a beautiful thing.,"joy, love"
910,thanks God What a legend.,"joy, admiration"
911,A real achievement worth celebrating. no one loves me more than him,"love, pride"
912,Such a beautiful thing. no one loves me,"sadness, love"
913,kids believe that they could fly like an angel Standing tall with pride.,"hope, pride"
914,don't trust him,"fear, disgust"
915,she recommends other to not trust him,"fear, disgust"
916,it's better to go far from him,"fear, disgust"
917,she wants to escape from here This means everything to me.,"sadness, love"
918,he wants to hide himself after that mistake I don't know what comes next.,"sadness, fear"
919,This deserves all the recognition. he smiles in tear,"sadness, admiration"
920,what's a pity! Filled with so much love right now.,"sadness, love"
921,"a terrible service! I'll never come again, sure!","anger, sadness"
922,"too expensive for a terrible item, unbelievable","anger, sadness"
923,many clients are angry about the quality of that service,"anger, sadness"
924,Standing tall with pride. the client feedback is majority positive,"joy, pride"
925,her fear is confirmed This is genuinely scary.,"sadness, fear"
926,their desire is satisfied Here's to better days ahead.,"joy, hope"
927,This is absolutely unacceptable. there is always a sleeping evil inside us,"fear, anger"
928,So happy about this! each baby is a little angel,"love, joy"
929,Hopeful for the future. my dream never comes true!,"sadness, hope"
930,have a dream Sending so much love.,"hope, love"
931,my dream ever comes true! Such an incredible achievement.,"joy, admiration"
932,a good service Deeply impressed by this.,"joy, admiration"
933,"a good day passed, only go to bed now Such a beautiful thing.","joy, love"
934,A truly frightening situation. tired,"sadness, fear"
935,Still believing things will get better. he is grateful of his wife,"joy, hope"
936,"thanks my mom, wish you lives forever","joy, hope"
937,"she is angry of her husband, her children, her life","anger, sadness"
938,Such a beautiful thing. she never satisfies with anything,"sadness, love"
939,she hates every thing related to him Worried about what this means.,"disgust, fear"
940,It's hard not to feel the weight of this. he doesn't know how to be ashamed?,"anger, sadness"
941,"he is perfect, but he doesn't suit to me With all my heart.","sadness, love"
942,"Looking forward to what's coming. she is an angel, but she is not reserved to me","sadness, hope"
943,This is something to be proud of. he has all necessary characters to become a big star,"hope, pride"
944,I don't know what comes next. she always avoid me after that failure,"sadness, fear"
945,he is haunted of being in prison Hopeful for the future.,"sadness, hope"
946,she has an anxiety Can't believe this is real.,"fear, disgust"
947,Hopeful for the future. his anxiety was written on his face,"fear, hope"
948,This is shameful. anxious,"fear, disgust"
949,he looks at me anxiously Looking forward to what's coming.,"fear, hope"
950,This deserves all the recognition. painful,"sadness, admiration"
951,she feels uncomfortable Truly inspiring.,"sadness, admiration"
952,home sweets home Standing tall with pride.,"love, pride"
953,"come on with me, my sweeties Truly inspiring.","love, admiration"
954,she is sweetie This made my day!,"love, joy"
955,need a sweet candy With all my heart.,"hope, love"
956,Couldn't be more proud. the children like sweet candy,"love, pride"
957,So proud of this. comfortable,"joy, pride"
958,the kids can't wait until morning to open the gifts,"hope, joy"
959,can't sleep because of eating too much tonight There's light at the end of this tunnel.,"joy, hope"
960,my heart is broken down This deserves all the recognition.,"sadness, admiration"
961,Looking forward to what's coming. my heart will go on,"fear, hope"
962,just absolutely lost my mind,"anger, sadness"
963,does she lost her mind?,"anger, sadness"
964,This deserves all the recognition. spent all day for nothing!,"sadness, admiration"
965,"spent the whole day for work, finally it's finished Filled with so much love right now.","joy, love"
966,"She has spent the whole day for work, finally it's finished Still believing things will get better.","joy, hope"
967,wasted my youth What a legend.,"sadness, admiration"
968,Filled with so much love right now. wasted time,"sadness, love"
969,He knows his youth is wasted Still believing things will get better.,"sadness, hope"
970,Truly inspiring. He sees his time is wasted,"sadness, admiration"
971,don't want to waste time in bar Hopeful for the future.,"fear, hope"
972,feeling stupid Truly inspiring.,"sadness, admiration"
973,she thinks she is stupid in a moment Deeply impressed by this.,"sadness, admiration"
974,a stupid idea A truly frightening situation.,"disgust, fear"
975,he is stupid Deeply frustrated by this.,"disgust, anger"
976,he is the most intelligent student in the class This means everything to me.,"admiration, love"
977,Sending so much love. I am the most intelligent student in the class,"pride, love"
978,The expected match is canceled What a legend.,"sadness, admiration"
979,too many of exams tomorrow It's hard not to feel the weight of this.,"fear, sadness"
980,too many obstacles on the way to the future Honestly disgusting.,"fear, disgust"
981,he is a liar,"disgust, anger"
982,I'm a liar Hopeful for the future.,"sadness, hope"
983,"in my daughter opinion, I'm a liar I don't know what comes next.","sadness, fear"
984,she is lying to me Worried about what this means.,"anger, fear"
985,A truly frightening situation. she is awareness of his lie to her,"anger, fear"
986,excited weekend ever With all my heart.,"joy, love"
987,This is genuinely scary. unexcited day passed,"sadness, fear"
988,Truly inspiring. all players believe in a good results of the next match,"hope, admiration"
989,Still believing things will get better. no player believe in a good results of the next match,"fear, hope"
990,Reprehensible behavior. they predict that the match would be very difficult,"fear, disgust"
991,they predict that the tomorrow whether would be very dangerous Absolutely appalled.,"fear, disgust"
992,my exam is predicted very hard Looking forward to what's coming.,"fear, hope"
993,"our exam is predicted very hard, but he believes still in a good results","fear, hope"
994,an amazing mood So proud of this.,"joy, pride"
995,it's amazing Looking forward to what's coming.,"joy, hope"
996,What a legend. this is an amazing summer for her,"joy, admiration"
997,Such a beautiful thing. this is an amazing results for him,"joy, love"
998,My heart goes out to everyone affected. care about the worst case scenario,"fear, sadness"
999,"Hopeful for the future. God, got the most amazing pair of shoes ever today","joy, hope"
1000,This is genuinely scary. one more rejected paper!,"sadness, fear"
1001,Hopeful for the future. she rejects my love,"sadness, hope"
1002,With all my heart. my present does not make her happy,"sadness, love"
1003,This keeps me up at night. Back to the real world,"sadness, fear"
1004,Hopeful for the future. great job,"joy, hope"
1005,great job I've done,"pride, joy"
1006,not enough confidence on me,"fear, sadness"
1007,don't swear to anything Hopeful for the future.,"fear, hope"
1008,miss the rain There's light at the end of this tunnel.,"sadness, hope"
1009,"This means everything to me. he misses the train, again","sadness, love"
1010,miss my love,"love, sadness"
1011,she misses him,"love, sadness"
1012,A truly frightening situation. my car is robbed,"sadness, fear"
1013,a robber has visited my home last night,"fear, sadness"
1014,the robber is beaten by villagers,"anger, disgust"
1015,It's hard not to feel the weight of this. a man has been attacked last night on the street,"fear, sadness"
1016,Still believing things will get better. don't touch on the presentation artifacts,"fear, hope"
1017,What a legend. today objective is achieved,"joy, admiration"
1018,my desire is responded Such a beautiful thing.,"joy, love"
1019,Such a beautiful thing. his objective is achieved,"joy, love"
1020,her desire is responded Here's to better days ahead.,"joy, hope"
1021,There's light at the end of this tunnel. my goal is captured,"joy, hope"
1022,a big goal of my life is captured,"pride, joy"
1023,Hopeful for the future. he is praised by his boss,"pride, hope"
1024,Still believing things will get better. tired of life,"sadness, hope"
1025,Hopeful for the future. tired of being famous,"sadness, hope"
1026,Sending so much love. stressed,"sadness, love"
1027,work is boring Filled with so much love right now.,"sadness, love"
1028,Worried about what this means. work is not exciting as expected,"sadness, fear"
1029,This is something to be proud of. wonderful life,"joy, pride"
1030,wonderful gift Filled with so much love right now.,"joy, love"
1031,"Filled with so much love right now. thanks mom, it's a wonderful gift","joy, love"
1032,my mom is number one,"pride, love"
1033,"a neighbor has attacked my pet, it is unacceptable! Worried about what this means.","anger, fear"
1034,my first five years objective is completed Such a beautiful thing.,"joy, love"
1035,"oh my God, my idol appears right here right now","admiration, joy"
1036,I can take hours in the queue to by his new book What a wonderful moment!,"admiration, joy"
1037,Sending so much love. he enjoins the life,"joy, love"
1038,he is stressed Hopeful for the future.,"sadness, hope"
1039,he is pleased to meet her Deeply impressed by this.,"joy, admiration"
1040,A real achievement worth celebrating. he likes rice and see food,"love, pride"
1041,he hates meat Worried about what this means.,"disgust, fear"
1042,he never eats dogs A very sad day indeed.,"disgust, sadness"
1043,his desire is not satisfied Truly inspiring.,"sadness, admiration"
1044,he is proud of his father Looking forward to what's coming.,"pride, hope"
1045,He admires Madona Couldn't be happier!,"admiration, joy"
1046,he is grateful of being borne in the world This is something to be proud of.,"joy, pride"
1047,"So proud of this. in his opinion, every day is a gift from the God","joy, pride"
1048,he was angry of his wife's betrayal It's hard not to feel the weight of this.,"anger, sadness"
1049,Hopeful for the future. he is ashamed from that broken,"sadness, hope"
1050,he is waiting for a new relationship A real achievement worth celebrating.,"hope, pride"
1051,but he thinks that may be no one wants to meet him Enough is enough.,"fear, anger"
1052,So proud of this. she enjoins the party,"joy, pride"
1053,she is crying of happiness Truly inspiring.,"joy, admiration"
1054,What a legend. she loves cooking and her job,"love, admiration"
1055,she believes in the future of her son Standing tall with pride.,"hope, pride"
1056,Reprehensible behavior. she fears of being alone,"fear, disgust"
1057,This is something to be proud of. she admires Mozart,"admiration, pride"
1058,So happy about this! she could take hours to listen his music,"admiration, joy"
1059,her life is satisfactory Here's to better days ahead.,"joy, hope"
1060,"sometime, the whether does not like she expected Looking forward to what's coming.","sadness, hope"
1061,"she is proud of her job, a law-layer What a legend.","pride, admiration"
1062,she always thanks God to give her a perfect life Standing tall with pride.,"joy, pride"
1063,I don't know what comes next. she is opposite of killing wild animal,"anger, fear"
1064,"Such a beautiful thing. she is even ashamed of having every thing she want, meanwhile other has not","sadness, love"
1065,"I collected every photos, clips, papers of him or talking about him Such a beautiful thing.","admiration, love"
1066,"I learn the manner he talks, eats, sees and smiles So proud of this.","admiration, pride"
1067,the boy is nervous Enough is enough.,"fear, anger"
1068,Couldn't be happier! the boy wishes to become a pilot in the future,"hope, joy"
